crossover_type,crossover_rate,mutation_type,mutation_rate,mutation_std_dev,selection_type,selection_size,distance,case_study,CA_size,population_size,input_locations,input_order,input_percentage,steps,number_of_rules,sort_rules,chromosome_evol,input_loc_evol,output_loc_evol,growth_rate_mean_fitness_training,growth_rate_mean_fitness_control,growth_rate_best_fitness_training,growth_rate_best_fitness_control
uniform,0.715510516,bit_flip,0.216753562,,roulette,,hamming,number_divided_by_two,25,11,random,ordered,0.19508525,28,8,LP_FixedPoint,yes,no,yes,0.000186826,0.000344308,-0.001144265,-0.000250188
uniform,0.001917128,gaussian,,7.215354004,tournament,5,manhattan,number_divided_by_two,25,8,random,random,0.844494133,10,5,LP_FixedPoint,no,no,no,0.000117838,4.66E-05,0,-5.58E-06
uniform,0.004932063,bit_flip,0.048752029,,roulette,,hamming,number_plus_one,10,15,random,ordered,0.714350292,20,3,LP_FixedPoint,no,yes,no,0.001282838,0.001275519,0.000272525,-7.12E-06
uniform,0.023556159,bit_flip,0.893723295,,roulette,,hamming,number_divided_by_two,25,16,evenly_distributed,ordered,0.394069667,23,6,LP_FixedPoint,no,no,no,-9.12E-05,-0.000167503,-0.000468404,-0.000771144
none,0.154082549,bit_flip,0.379003838,,tournament,4,euclidean,number_divided_by_two,15,13,evenly_distributed,random,0.995908332,26,3,LP_FixedPoint,yes,no,no,-6.76E-05,-0.000149597,-0.000381051,-0.000455029
single_point,0.484213919,bit_flip,0.438993671,,tournament,4,manhattan,number_divided_by_two,25,10,evenly_distributed,random,0.066847118,29,5,LPChaotic,yes,yes,yes,,,,
uniform,0.216053563,bit_flip,0.334062836,,tournament,3,manhattan,number_divided_by_two,10,17,random,ordered,0.76735945,29,2,LPChaotic,yes,no,no,0.001139202,0.00059978,0.000843188,-0.000134351
single_point,0.069509289,bit_flip,0.972010124,,tournament,2,manhattan,number_divided_by_two,20,13,evenly_distributed,ordered,0.338965372,11,4,LPComplex,yes,no,no,-0.001585902,-0.001861326,-0.004559426,-0.004478764
single_point,0.724599892,bit_flip,0.899023598,,tournament,7,hamming,number_plus_one,25,11,random,random,0.390433674,20,8,LPComplex,no,yes,no,0.002075633,0.002323866,0.001795707,0.001252056
uniform,0.15506948,gaussian,,1.492468815,tournament,6,manhattan,number_divided_by_two,20,9,evenly_distributed,random,0.223776379,24,9,LPNull,no,no,no,0.001542056,-0.000377049,0,-0.001876173
uniform,0.36683585,bit_flip,0.324951214,,roulette,,euclidean,number_plus_one,20,10,evenly_distributed,random,0.548208242,22,5,LPNull,no,no,no,0,0,0,0
none,0.769478931,bit_flip,0.84435048,,tournament,9,euclidean,number_plus_one,20,19,random,ordered,0.197385357,11,6,LPNull,no,no,no,0,-8.79E-19,0,0
none,0.989375867,gaussian,,5.037518988,tournament,5,manhattan,number_divided_by_two,25,10,random,ordered,0.311554792,12,8,LPPeriodic,no,no,no,0.000497337,-4.18E-05,0,-0.000977352
single_point,0.136843042,bit_flip,0.597037193,,tournament,8,manhattan,number_divided_by_two,20,9,evenly_distributed,ordered,0.808157671,22,9,LPPeriodic,no,no,yes,,,,
single_point,0.976679026,bit_flip,0.428497668,,tournament,3,manhattan,number_plus_one,25,9,evenly_distributed,ordered,0.832507426,19,9,LPTwoCycle,no,no,yes,0.000563832,-3.24E-05,0.000541308,-0.000176753
single_point,0.388439597,bit_flip,0.060371659,,tournament,6,euclidean,number_divided_by_two,25,10,evenly_distributed,random,0.180123337,11,8,LPTwoCycle,no,yes,yes,,,,
uniform,0.357634392,bit_flip,0.190657247,,tournament,8,manhattan,number_plus_one,10,13,random,ordered,0.474089051,19,3,LPTwoCycle,yes,no,yes,,,,
single_point,0.700116662,bit_flip,0.019812351,,tournament,3,hamming,number_plus_one,25,15,evenly_distributed,random,0.376023879,10,6,LPTwoCycle,no,no,no,0.00055673,0.000592085,0,0
single_point,0.179997814,gaussian,,7.814389995,roulette,,hamming,number_divided_by_two,25,12,evenly_distributed,random,0.012060575,23,9,LPTwoCycle,no,no,no,0.000968421,0.000292758,0,-0.000994764
